Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Least developed countries: UN classification,LDC,Population growth (annual %),SP.POP.GROW,2.35267599700724,2.37762375014661,2.39810789604434,2.40716452037344,2.39739007028668,2.36355343048444,2.37989470294994,2.39275132401863,2.39018851606679,2.41050734491071,2.42176660892821,2.35679996687301,2.29092161834967,2.31265670104519
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,0.976748358836896,1.07982379188685,2.70487296695382,9.25490649315042,9.99230472656041,1.95769583624838,-2.33543749400836,-2.61057116476665,-2.89884297122412,-3.21837128976045,-1.60386258157574,0.275364167930295,0.460053063032864,0.503630953855672
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,0.772821659424366,0.885634151913232,1.00510607755205,1.08291299578498,1.14032275206417,1.17199706979444,1.21894302061673,1.24492806980041,1.22069019410404,1.17469837087993,1.18432063043163,1.14804266920884,1.08048016923391,1.10328678263994
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.89605811562763,3.92046987945605,3.53448694358844,2.19827693086756,2.08217532534285,2.06297096669961,2.04312155500225,1.94324776688719,1.95645231379837,1.98225492944197,2.07483340649162,2.11098738475006,2.14388170425267,2.20390696065654
Libya,LBY,Population growth (annual %),SP.POP.GROW,2.0390577056462,-2.4085814162192,-2.61743182302169,2.00744391901146,1.92631083217923,1.61383897825773,1.52399514586306,1.59519992425695,1.62332708641058,1.47795950725002,1.3484498033463,1.26619979488109,1.23450447871795,1.12674309223491
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.780339504026041,0.801840223929879,0.945614084833038,0.888098068342956,0.711286542304829,0.658266806602704,0.590348742843119,0.650125178937136,0.745332024798021,0.825428790511035,0.872668968896405,0.719750043098349,0.790598334689517,0.899896422348841
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-2.09694341985475,-2.25846389882827,-1.34120198821595,-1.01200736818103,-0.859827343070249,-0.940753796646208,-1.27069453298857,-1.39832220092102,-0.954190459209969,-0.264704354944785,0.0267667582795671,0.212805429536827,1.09366808005007,1.40084461829591
Low & middle income,LMY,Population growth (annual %),SP.POP.GROW,1.40856163480095,1.40987570781139,1.42568491188099,1.39377496464603,1.36785183163401,1.32061643632164,1.30289058787538,1.30339473773218,1.26870953431319,1.22538203122429,1.15621801989229,1.05105490826651,0.966721733808143,0.980062836354747
Low income,LIC,Population growth (annual %),SP.POP.GROW,2.86185060284481,2.83713054397359,2.73797553085539,2.56164065506066,2.49495643624709,2.52586030089141,2.64990304342294,2.7455859474212,2.8226719098497,2.88579404918539,2.8518017614785,2.74507645780079,2.67117886286768,2.73420945242688
Lower middle income,LMC,Population growth (annual %),SP.POP.GROW,1.7339143974328,1.70732611203599,1.66797677198404,1.61855813082292,1.61253042012213,1.53922126385417,1.50236593064004,1.47124680928927,1.42551001291842,1.38514977274764,1.35668708497975,1.27313350537143,1.23298271920245,1.26841432195783
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,1.8254058035237,2.22266050326725,2.40154189982875,2.31117625275217,2.35697870484045,2.35995118136865,2.15531198799205,2.43097641776115,1.92883751398765,1.9628449198635,1.66635867423273,1.51834936706612,2.01666790212729,2.02002574712319
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,0.373134761285818,2.31926463992749,3.27546059752472,4.13923548132925,4.91199595786127,3.3531529872349,1.48219480492074,-0.630334933532746,1.60639880582531,1.96865626033754,1.9744268917359,-0.424008238139362,-0.764822083825685,0.221222713921319
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.90919662127516,2.83965714379658,2.76626312576328,2.71964840033078,2.68077948175383,2.63948434650119,2.61335935661539,2.60345495087599,2.60334538024635,2.60136633480103,2.56778870397591,2.51537360931706,2.48207836172625,2.46201530433165
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.94779608735928,2.91504427220952,2.87064589887138,2.83808966369485,2.80479012384928,2.75359183453625,2.72595787740448,2.70808949087835,2.67117568591664,2.65059567621331,2.63573735113183,2.59415828794597,2.567947782963,2.57135708610945
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.87040612656176,1.75128008243176,1.70269513202166,1.70946282045073,1.7147407282165,1.73319445645586,1.76731054757933,1.76466064017847,1.70174731907235,1.59646653343981,1.33363323143911,1.15251304394292,1.1977720012836,1.23402869169549
Maldives,MDV,Population growth (annual %),SP.POP.GROW,3.53092174013543,3.50821445523557,3.45705386277423,3.36852336235274,3.33008930667728,3.45425190846638,3.47818441091268,3.3230837355609,3.18090435033978,3.04593554452725,2.90711274683574,2.75700187362712,1.528878337276,0.359585188904548
Mali,MLI,Population growth (annual %),SP.POP.GROW,3.2485140091385,3.23250831038309,2.91998728475051,2.92078257453733,3.16065691731413,3.1289280097663,3.16701291267986,3.18823649379751,3.1254232369578,3.01814494306617,3.01751361469378,3.06035796580474,3.00942592606239,2.97400537620334
Malta,MLT,Population growth (annual %),SP.POP.GROW,0.49118281065151,0.423700885195294,0.899209211902256,1.4040502758129,1.9967544083193,2.38639536345808,2.28861544064371,2.73866285589301,3.49195540302534,3.93135631850717,2.21120767752363,0.619810315667809,2.47144374003649,3.91764986035828
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,0.0480478181120274,-0.263585880501686,-0.944590187330327,-1.44566670550716,-1.76164273882982,-2.0204346660438,-2.26102535172131,-2.50442852271303,-2.70999222878463,-2.86271396531764,-3.00092865880133,-3.18559640580083,-3.16808578519291,-3.16867227675357
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,3.19159403639576,3.24512473547367,3.26413503920642,3.135806545909,3.01218949095495,3.00605924056849,2.99795842489143,2.98778789331469,2.97356403059489,2.95347297852629,2.92092559048913,2.88703345850902,2.92956466448208,2.96653079197429
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,0.237886692890185,0.160140420765724,0.277321025514609,0.242165626741126,0.181022097854624,0.132404330287967,0.0687082325715694,0.0901672663767558,0.0545354541381391,0.0322330642925213,0.00229068020969373,0.0252729878913446,-0.301401216835277,-0.117452949112512
