,food,green,wood,paper_cardboard,textiles,total
2006-04-01,312914.03965528944,77474.04404605349,104333.85704376565,229966.05860264832,29928.36932237344,754616.3686701303
2006-05-01,324532.91572725744,80362.52609022948,108257.2182389991,238652.49789197295,31064.066755973363,782869.2247044324
2006-06-01,315088.12841795996,78036.9042252526,105161.41009119587,231870.49462442863,30187.009408488175,760343.9467673253
2006-07-01,326770.26062840794,80942.00104341576,109109.8999365005,240615.56869334364,31330.77957481252,788768.5098764803
2006-08-01,327900.04274775815,81234.80420921293,109541.30454020861,241609.3969063965,31465.892309532708,791751.440713109
2006-09-01,320618.571046474,79424.43967249531,107086.09606758946,236182.34372185005,30757.90199240496,774069.3525008138
2006-10-01,332390.1874570664,82353.17420248258,111070.70100276411,245012.07206820985,31913.376685859013,802739.5114163819
2006-11-01,322747.5657016063,79976.78177673552,107901.59625840392,238062.98035202417,31013.845788689006,779702.7698774588
2006-12-01,334581.1262163403,82921.82060317986,111910.96385863256,246950.6107297669,32177.309057660932,808541.8304655806
2007-01-01,335687.4723915276,83209.15173135749,112336.08493064476,247932.0186888732,32311.013210291778,811475.7409526948
2007-02-01,304196.6338607354,75415.18807691307,101847.69150206161,224822.77481298562,29304.649858330584,735586.9381110263
2007-03-01,335499.81066977244,83207.65307115216,112457.5975078643,248338.75179458657,32382.271196970316,811886.0842403458
2007-04-01,325656.2786846593,80779.7499276377,109214.22791340321,241220.4352116253,31459.985359895683,788330.6770972211
2007-05-01,337645.896214118,83765.81136740843,113285.78158062547,250253.38017735392,32643.487938835213,817594.3572783411
2007-06-01,327724.33483334293,81317.84263647022,110013.31746111005,243068.58639632683,31712.239577949713,793836.3209051997
2007-07-01,339774.12343234185,84319.7877522795,114109.13548417293,252158.4332144282,32903.615572458926,823265.0954556813
2007-08-01,340848.80075469863,84599.70593326246,114525.70141226606,253122.88827764615,33035.39226683645,826132.4886447098
2007-09-01,333096.5259372402,82668.37440533613,111895.38855833316,247296.07885152072,32273.551340294984,807229.9190927253
2007-10-01,345231.1943335975,85692.86494082368,116026.02767036809,256467.9827303226,33476.3328231693,836894.4024982812
